language1,language2,common_actors
Scala,Jupyter Notebook,17
Scala,Objective-C,4
Scala,DM,0
Scala,Kotlin,10
Scala,R,2
Scala,Elixir,1
Scala,Perl,4
Scala,Lua,3
PowerShell,Rust,1
PowerShell,Jupyter Notebook,1
PowerShell,Objective-C,0
PowerShell,DM,0
PowerShell,Kotlin,0
PowerShell,R,1
PowerShell,Elixir,2
PowerShell,Perl,2
PowerShell,Lua,1
Rust,Jupyter Notebook,4
Rust,Objective-C,6
Rust,DM,0
Rust,Kotlin,9
Rust,R,0
Rust,Elixir,6
Rust,Perl,3
Rust,Lua,4
Jupyter Notebook,Objective-C,4
Jupyter Notebook,DM,0
Jupyter Notebook,Kotlin,1
Jupyter Notebook,R,25
Jupyter Notebook,Elixir,1
Jupyter Notebook,Perl,5
Jupyter Notebook,Lua,3
Objective-C,DM,0
Objective-C,Kotlin,5
Objective-C,R,1
Objective-C,Elixir,3
Objective-C,Perl,2
Objective-C,Lua,3
DM,Kotlin,0
DM,R,0
DM,Elixir,0
DM,Perl,0
DM,Lua,1
Kotlin,R,1
Kotlin,Elixir,2
Kotlin,Perl,1
Kotlin,Lua,1
R,Elixir,1
R,Perl,2
R,Lua,0
Elixir,Perl,3
Elixir,Lua,2
Perl,Lua,1
JavaScript,JavaScript,42542
Python,Python,24998
Java,Java,23761
HTML,HTML,19792
Ruby,Ruby,10350
PHP,PHP,11903
C++,C++,10190
C#,C#,7823
CSS,CSS,9862
Go,Go,5820
TypeScript,TypeScript,5549
C,C,6798
Shell,Shell,6630
Swift,Swift,2637
Scala,Scala,1727
PowerShell,PowerShell,818
Rust,Rust,1091
Jupyter Notebook,Jupyter Notebook,2081
Objective-C,Objective-C,1645
DM,DM,240
Kotlin,Kotlin,883
R,R,1142
Elixir,Elixir,673
Perl,Perl,795
Lua,Lua,761
