language,cohort,number_prs,actor.display_login
Nimrod,2017-09,1,1
Nimrod,2017-10,5,4
Nix,2017-08,1026,109
Nix,2017-09,1032,117
Nix,2017-10,932,123
OCaml,2017-08,1213,188
OCaml,2017-09,993,192
OCaml,2017-10,1262,218
Objective-C,2017-08,5146,1517
Objective-C,2017-09,4586,1488
Objective-C,2017-10,5331,1646
Objective-C++,2017-08,61,27
Objective-C++,2017-09,42,27
Objective-C++,2017-10,63,22
Objective-J,2017-08,11,5
Objective-J,2017-09,38,9
Objective-J,2017-10,30,8
OpenEdge ABL,2017-08,18,10
OpenEdge ABL,2017-09,41,14
OpenEdge ABL,2017-10,43,21
OpenSCAD,2017-08,22,9
OpenSCAD,2017-09,22,14
OpenSCAD,2017-10,39,21
P4,2017-08,45,9
P4,2017-09,49,10
P4,2017-10,39,11
PAWN,2017-08,18,6
PAWN,2017-09,9,5
PAWN,2017-10,5,5
PHP,2017-08,45936,10111
PHP,2017-09,47564,10257
PHP,2017-10,56123,11920
PLSQL,2017-08,205,51
PLSQL,2017-09,245,64
PLSQL,2017-10,305,80
PLpgSQL,2017-08,766,172
PLpgSQL,2017-09,759,137
PLpgSQL,2017-10,733,186
POV-Ray SDL,2017-08,11,8
POV-Ray SDL,2017-09,16,8
POV-Ray SDL,2017-10,26,10
Pan,2017-08,3,2
Pan,2017-09,5,3
Pan,2017-10,3,2
Papyrus,2017-08,1,1
Papyrus,2017-09,2,2
Papyrus,2017-10,5,3
Parrot,2017-08,2,1
Parrot,2017-10,2,1
Pascal,2017-08,227,100
Pascal,2017-09,174,78
Pascal,2017-10,282,103
Pep8,2017-09,2,1
Perl,2017-08,2471,725
Perl,2017-09,2347,720
Perl,2017-10,2934,795
Perl 6,2017-08,171,50
Perl 6,2017-09,219,50
Perl 6,2017-10,214,59
Perl6,2017-08,36,29
Perl6,2017-09,23,20
Perl6,2017-10,24,20
PicoLisp,2017-08,1,1
PicoLisp,2017-10,1,1
PigLatin,2017-10,3,2
Pony,2017-08,19,7
Pony,2017-09,102,11
Pony,2017-10,38,11
PostScript,2017-08,223,45
PostScript,2017-09,173,38
PostScript,2017-10,205,58
PowerBuilder,2017-08,65,2
PowerBuilder,2017-09,6,1
PowerShell,2017-08,7568,700
PowerShell,2017-09,6237,721
PowerShell,2017-10,6621,818
Processing,2017-08,156,33
Processing,2017-09,149,58
Processing,2017-10,243,74
Prolog,2017-08,35,18
Prolog,2017-09,52,22
Prolog,2017-10,131,66
Propeller Spin,2017-09,10,1
Propeller Spin,2017-10,3,1
Protocol Buffer,2017-08,379,101
Protocol Buffer,2017-09,215,93
Protocol Buffer,2017-10,156,73
Puppet,2017-08,752,223
Puppet,2017-09,818,230
Puppet,2017-10,909,249
Pure Data,2017-08,3,3
Pure Data,2017-09,21,6
Pure Data,2017-10,3,3
PureBasic,2017-08,11,2
PureBasic,2017-09,9,4
PureBasic,2017-10,4,4
PureScript,2017-08,248,68
PureScript,2017-09,183,47
PureScript,2017-10,194,55
Python,2017-08,90968,20171
Python,2017-09,91937,20628
Python,2017-10,112610,25014
QML,2017-08,218,83
QML,2017-09,219,79
QML,2017-10,246,79
QMake,2017-08,13,11
QMake,2017-09,7,5
QMake,2017-10,24,16
R,2017-08,3096,966
R,2017-09,3048,960
R,2017-10,3350,1145
RAML,2017-08,86,24
RAML,2017-09,56,32
RAML,2017-10,55,28
Racket,2017-08,122,40
Racket,2017-09,173,44
Racket,2017-10,150,47
Ragel,2017-08,14,4
Ragel,2017-09,12,3
Ragel,2017-10,11,4
Ragel in Ruby Host,2017-09,1,1
Rascal,2017-08,17,8
Rascal,2017-09,7,5
Rascal,2017-10,16,7
Rebol,2017-08,1,1
Rebol,2017-09,18,7
Rebol,2017-10,7,6
Red,2017-08,17,7
Red,2017-09,33,8
Red,2017-10,5,4
Ren'Py,2017-08,11,4
Ren'Py,2017-09,20,8
Ren'Py,2017-10,68,16
RenderScript,2017-08,2,2
RenderScript,2017-09,1,1
Ring,2017-08,32,1
Ring,2017-09,30,2
Ring,2017-10,8,2
RobotFramework,2017-08,41,9
RobotFramework,2017-09,84,20
RobotFramework,2017-10,108,18
Roff,2017-08,489,107
Roff,2017-09,275,87
Roff,2017-10,246,104
Ruby,2017-08,63462,9856
Ruby,2017-09,51770,9104
Ruby,2017-10,59297,10359
Rust,2017-08,5184,930
Rust,2017-09,5277,923
Rust,2017-10,6157,1091
SAS,2017-08,46,9
SAS,2017-09,17,11
SAS,2017-10,31,12
SMT,2017-08,25,8
SMT,2017-09,68,7
SMT,2017-10,80,10
SQF,2017-08,206,59
SQF,2017-09,215,64
SQF,2017-10,288,88
SQLPL,2017-08,92,41
SQLPL,2017-09,132,40
SQLPL,2017-10,153,49
SRecode Template,2017-08,30,7
SRecode Template,2017-09,11,4
SRecode Template,2017-10,5,2
SaltStack,2017-08,423,94
SaltStack,2017-09,239,62
SaltStack,2017-10,350,76
Scala,2017-08,8702,1637
Scala,2017-09,8331,1634
Scala,2017-10,9196,1728
Scheme,2017-08,138,56
Scheme,2017-09,114,44
Scheme,2017-10,131,62
Scilab,2017-08,27,3
Scilab,2017-09,28,6
Scilab,2017-10,49,12
Self,2017-09,1,1
Self,2017-10,1,1
ShaderLab,2017-08,19,13
ShaderLab,2017-09,23,12
ShaderLab,2017-10,29,15
Shell,2017-08,18208,5726
Shell,2017-09,18144,5798
Shell,2017-10,20092,6632
Shen,2017-10,64,2
Slash,2017-08,7,5
Slash,2017-09,7,3
Slash,2017-10,6,5
Smali,2017-08,16,10
Smali,2017-09,10,6
Smali,2017-10,2,2
Smalltalk,2017-08,164,42
Smalltalk,2017-09,180,44
Smalltalk,2017-10,170,44
Smarty,2017-08,692,159
Smarty,2017-09,879,148
Smarty,2017-10,772,163
SourcePawn,2017-08,106,44
SourcePawn,2017-09,84,39
SourcePawn,2017-10,116,49
Squirrel,2017-08,39,7
Squirrel,2017-09,14,7
Squirrel,2017-10,10,6
Stan,2017-08,10,5
Stan,2017-09,15,6
Stan,2017-10,14,7
Standard ML,2017-08,111,29
Standard ML,2017-09,156,34
Standard ML,2017-10,146,34
Stata,2017-08,28,10
Stata,2017-09,29,13
Stata,2017-10,34,19
SuperCollider,2017-08,15,5
SuperCollider,2017-09,18,8
SuperCollider,2017-10,15,8
Swift,2017-08,8139,1972
Swift,2017-09,7437,2233
Swift,2017-10,10383,2638
SystemVerilog,2017-08,17,10
SystemVerilog,2017-09,27,12
SystemVerilog,2017-10,47,18
TI Program,2017-10,3,1
Tcl,2017-08,170,48
Tcl,2017-09,199,49
Tcl,2017-10,288,65
TeX,2017-08,1576,571
TeX,2017-09,1748,648
TeX,2017-10,2538,848
Terra,2017-08,6,3
Terra,2017-09,8,3
Terra,2017-10,8,6
Thrift,2017-08,12,6
Thrift,2017-09,26,10
Thrift,2017-10,22,8
Turing,2017-09,2,1
Turing,2017-10,2,2
TypeScript,2017-08,24809,4337
TypeScript,2017-09,25271,4529
TypeScript,2017-10,30753,5552
Uno,2017-08,1,1
Uno,2017-09,5,3
Uno,2017-10,2,2
UnrealScript,2017-08,13,6
UnrealScript,2017-09,29,8
UnrealScript,2017-10,34,10
VCL,2017-10,17,4
VHDL,2017-08,58,23
VHDL,2017-09,75,22
VHDL,2017-10,127,60
Vala,2017-08,312,50
Vala,2017-09,269,59
Vala,2017-10,327,71
Verilog,2017-08,45,27
Verilog,2017-09,79,39
Verilog,2017-10,199,75
Vim script,2017-08,997,361
Vim script,2017-09,914,343
Vim script,2017-10,1368,509
VimL,2017-08,72,64
VimL,2017-09,57,51
VimL,2017-10,81,77
Visual Basic,2017-08,674,136
Visual Basic,2017-09,606,148
Visual Basic,2017-10,714,168
Volt,2017-08,1,1
Volt,2017-09,2,1
Volt,2017-10,1,1
Vue,2017-08,2555,520
Vue,2017-09,2319,512
Vue,2017-10,2800,638
Web Ontology Language,2017-08,236,59
Web Ontology Language,2017-09,208,67
Web Ontology Language,2017-10,125,48
WebAssembly,2017-08,105,19
WebAssembly,2017-09,153,20
WebAssembly,2017-10,91,14
WebIDL,2017-08,1,1
WebIDL,2017-09,1,1
WebIDL,2017-10,1,1
X10,2017-09,1,1
XC,2017-08,19,8
XC,2017-09,56,13
XC,2017-10,58,13
XProc,2017-09,2,1
XProc,2017-10,6,1
XQuery,2017-08,71,18
XQuery,2017-09,43,15
XQuery,2017-10,45,18
XSLT,2017-08,924,219
XSLT,2017-09,947,245
XSLT,2017-10,1134,272
Xojo,2017-08,1,1
Xojo,2017-09,4,2
Xojo,2017-10,4,3
Xtend,2017-08,40,15
Xtend,2017-09,59,17
Xtend,2017-10,43,19
Yacc,2017-08,50,17
Yacc,2017-09,59,25
Yacc,2017-10,119,37
Zephir,2017-09,3,1
Zephir,2017-10,1,1
eC,2017-08,1,1
nesC,2017-08,2,2
nesC,2017-09,31,4
nesC,2017-10,52,3
ooc,2017-08,6,2
ooc,2017-09,7,3
ooc,2017-10,6,2
wdl,2017-10,3,3
xBase,2017-08,1,1
xBase,2017-09,1,1
xBase,2017-10,11,4
